algo,0,1,2,3,4,5,6,7,8,9
600.perlbench_s,8.972935354636705,3.4226359861194444,2.528380888510916,2.450376945006805,1.4804581251670939,,,,,
602.gcc_s,7.897870186537125,3.232425417757061,3.0764417754424747,2.450274932528225,1.854217612830587,1.7505029865958863,,,,
605.mcf_s,8.753073655147446,4.416403239550521,3.3487993608597666,2.652991628519202,2.918545922862476,2.550514641003277,,,,
620.omnetpp_s,18.199216252546393,6.556307630320763,4.712923450387335,3.84382763091586,3.738783694578045,,,,,
623.xalancbmk_s,9.197975130927603,3.917303274703317,3.326173778940418,2.7083322044251603,2.116674922926366,2.141981919819,1.963463954361732,1.4216697433905146,1.337958667846717,
625.x264_s,9.753953000593228,6.280342336663955,3.2950466879538953,3.3669764904989603,2.8287634137182187,1.7838591645634216,2.124228518977674,,,
631.deepsjeng_s,6.879934022901788,3.4133559988767797,2.8624131515012765,1.7041606646409808,,,,,,
641.leela_s,7.113657142778473,3.011952013849947,2.6582728784592446,2.1571585327023803,1.4026528550467314,1.1439139919217283,1.2103461394671813,,,
648.exchange2_s,8.730679209160254,4.092087632417654,3.760860250176048,3.127879246075794,2.547005727077682,1.8957743426377442,,,,
657.xz_s,11.163460041702674,4.12911839681501,3.55828878918763,2.470122616146097,2.5058486341481507,2.11741823580027,,,,
401.bzip2,8.207198285469069,2.364275599941159,2.1563299233221125,1.9043425108936332,1.7881030851152506,1.3028487063897356,1.355608995968651,1.2321300290271735,,
456.hmmer,18.80375695174492,6.40316362841586,3.652886185052949,3.79513061316656,2.7727780403831126,4.292309836992656,3.6193148136278044,2.412454811863807,2.4775705687437894,1.5915287093886215
458.sjeng,7.411125031913334,2.7031043163574613,1.8996877369360878,1.9774251256149968,1.3690196129081689,,,,,
462.libquantum,134.06376545874215,40.99160314743177,29.447357955527174,19.26843545310649,,,,,,
473.astar,9.966276961458496,3.7601308163664258,3.8748906497520927,2.5295028119757994,2.122085872093781,1.8871257072668908,2.264681031294043,1.7361031202144224,,
