algo,0,1,2,3,4,5,6,7,8,9
npb_ep,0.7773844813415217,0.524562648366582,0.3245425891712953,0.16519547765901385,0.06977701433898179,0.05264644196045583,,,,
npb_mg,0.4097357019660972,0.2191315144820439,0.18912810059974558,0.1857379783625245,0.18351457883024822,0.1737901658137838,0.15560501402329546,0.11305406347379604,,
npb_sp,1.0345681449161097,0.3397028271842729,0.27322991757577414,0.24919577912070848,0.22068452667636496,,,,,
npb_sp-mz,0.7792631853326214,0.46238623003635165,0.34258145346660196,0.2574115438823335,0.1665348784250232,0.15298554306766524,0.10835508488690292,0.0946822221748944,0.08922409209707756,0.08276329663220283
matmul,0.46301048980873954,0.12495262992151238,0.11681061736697322,0.08446498072544793,0.08230487028673804,,,,,
montecarlo,0.9883968444270034,0.16830731161475018,0.12186994268553948,0.10909578269889124,0.10883753583028118,,,,,
quicksort,0.7514358930139671,0.5355236418746775,0.37491095939660524,0.11309506964569271,0.09502142995670071,0.036446242954477154,,,,
