algo,0,1,2,3,4,5,6,7,8,9
600.perlbench_s,0.8347186870076518,0.5409309915974805,0.4354737452635172,0.37757764507924524,0.3247617469544264,,,,,
602.gcc_s,0.7575873604406307,0.5101887888512684,0.45914145612802437,0.41107615862531977,0.3730063556823825,0.3571625924974801,,,,
605.mcf_s,0.5679331958058921,0.3794945675672837,0.3213584232994308,0.28236273319023375,0.27075094907444064,0.25268114837694156,,,,
620.omnetpp_s,0.7586415211339578,0.4435250715572649,0.3717739311376864,0.327834961422698,0.29024697205279054,,,,,
623.xalancbmk_s,0.7166595535620767,0.4392257961672839,0.3555464357162586,0.32019653684477184,0.2816130998009267,0.2697501811904306,0.25831033537233533,0.21632603266082512,0.20853819460769055,
625.x264_s,0.8865031901789502,0.7368563744464524,0.5856225925210247,0.5774356937938439,0.5702320396274171,0.5660860290772917,0.5660465809159698,,,
631.deepsjeng_s,0.854514822970305,0.6465692031877248,0.5261407612712574,0.4917310383154815,,,,,,
641.leela_s,0.7703526545500173,0.4436736855372807,0.30715638668058837,0.25594040140559304,0.2224662210879081,0.20316834930069447,0.1994558957002054,,,
648.exchange2_s,0.6651391992121042,0.43573930264175426,0.34035986397894885,0.2977767508833837,0.2504734507678521,0.22879218229580767,,,,
657.xz_s,0.7289309401623729,0.4276814928076467,0.28837202551212354,0.2130043795227784,0.19194642102007356,0.17349582617053116,,,,
401.bzip2,0.3684822108717721,0.17626576159959553,0.1531072787666959,0.14228532322573537,0.13701391688881065,0.12205677203018303,0.11996522749972356,0.11409493110187596,,
456.hmmer,0.39213133381100246,0.25103136317636177,0.21790678058947088,0.20622467068544026,0.1860250329350188,0.1846139808131446,0.17247527537532414,0.16896770329569769,0.16730293285418996,0.16331744103469995
458.sjeng,0.35442065688525803,0.1605285295499119,0.14379166772467916,0.12929486982235477,0.11344938423852154,,,,,
462.libquantum,0.635713014037697,0.29027502438697045,0.18190823370111556,0.11238956051583904,,,,,,
473.astar,0.346263519615392,0.1753460484349372,0.16748906669078495,0.14167948129289534,0.13729388165986134,0.11682516603946762,0.11640531925613266,0.10744972727458348,,
