algo,0,1,2,3,4,5,6,7,8,9
600.perlbench_s,0.3768877491114534,0.14278186010954036,0.10640452284663413,0.10199413792829519,0.0631625055278561,,,,,
602.gcc_s,0.3494204895363114,0.14071784468667026,0.13501167927869567,0.10892766613981231,0.08240402021819002,0.07781741095805624,,,,
605.mcf_s,0.2603327244057063,0.13757533996638066,0.10207698880554722,0.08442528332654023,0.08708175470553302,0.08107456527666951,,,,
620.omnetpp_s,0.5088945380747871,0.182275191590752,0.1327484356879865,0.10594148154140642,0.10416481865415539,,,,,
623.xalancbmk_s,0.33005850448643326,0.14248132651114703,0.11880862348742527,0.1012673271140816,0.07796835874953245,0.0808658524698852,0.07467639637115614,0.052851981568260764,0.04811880153724579,
625.x264_s,0.19967148930135226,0.13298069869656232,0.07249456720959913,0.07109186071358187,0.05955643858882487,0.03902113983345534,0.04493462282388094,,,
631.deepsjeng_s,0.26472204543291294,0.1293895404624008,0.10945081934058781,0.0685625101301992,,,,,,
641.leela_s,0.3291815179720457,0.13966280901354777,0.12742206370767098,0.10221700755269814,0.06498387291850288,0.05309143391372784,0.056003414957178144,,,
648.exchange2_s,0.29509973608690176,0.13738543188724694,0.13152682253976233,0.1057540675344174,0.08542108657222591,0.06670866060660297,,,,
657.xz_s,0.251617001400427,0.09321165238705453,0.07896698431721488,0.055669538196275625,0.05540101247698226,0.04828978997485219,,,,
401.bzip2,0.2563689864871158,0.07031651076337031,0.06616590866760169,0.05374977328445363,0.05816266302599496,0.0401691904251017,0.04350869209105679,0.035048225361974966,,
456.hmmer,0.21068354010085427,0.06924153914183273,0.03831975019023459,0.04275555758810645,0.02813015279764941,0.04667959645890752,0.04220176474083215,0.023031383542305717,0.02367023116574074,0.017704940528732394
458.sjeng,0.20524672971303587,0.07639112254087899,0.05813240506071238,0.05481039547499715,0.042102687510632064,,,,,
462.libquantum,0.14661581525621561,0.04321485359799872,0.024962509558152296,0.01928202123878714,,,,,,
473.astar,0.23120670507361474,0.08486179262460603,0.07924112948565476,0.04924689939658339,0.047260182357666936,0.04079750471894128,0.048919121198082616,0.03522507416919329,,
