algo,0,1,2,3,4,5,6,7,8,9
npb_ep,0.45899382284088486,0.2002165370913787,0.07976812075405815,0.04641479951336398,0.02376247226196583,0.01294516447156413,,,,
npb_mg,0.223524698524905,0.10247128154201757,0.0840102297613529,0.08225059442379185,0.07864220272415456,0.07522827636243143,0.06933228468469449,0.05723193332578248,,
npb_sp,0.5426932485674166,0.08706713567059904,0.061953786930797505,0.041955597764517294,0.039095030007288395,,,,,
npb_sp-mz,0.311647425624031,0.190936672812343,0.10115198763155908,0.06733684437140725,0.041553666893744734,0.042147652977152686,0.03871551586579383,0.0413263897818229,0.02436898033158169,0.028652418625473186
matmul,0.16661930144849557,0.02987068925244621,0.029497064133496953,0.019010668224709905,0.020521842132201235,,,,,
montecarlo,0.5409649775145002,0.028967091040220133,0.02461306800590715,0.017475359045591277,0.022649845213962128,,,,,
quicksort,0.303376540963147,0.17304833657277893,0.12664668262128753,0.041129842449570075,0.042817099966671116,0.018823756006118186,,,,
