algo,nnmodel_train_rmse,autokerasmodel_train_rmse,nnmodel_test_rmse,autokerasmodel_test_rmse,nnmodel_train_medae,autokerasmodel_train_medae,nnmodel_test_medae,autokerasmodel_test_medae,nnmodel_train_medape,autokerasmodel_train_medape,nnmodel_test_medape,autokerasmodel_test_medape
npb_ep,0.05264644196045583,0.21945409672369243,0.41374849803374647,0.40563639367067067,0.01294516447156413,0.030821130591756896,0.01748152362996218,0.05757439913296569,1.6877570941138105,5.702609076714291,1.9177848911260633,8.437116554556894
npb_mg,0.11305406347379604,0.24192333739300634,0.40366526033734007,0.43221161942039027,0.05723193332578248,0.12395575756599564,0.10031586226430467,0.1491018110862659,3.1686938241715,7.719899083288019,4.679152138831072,9.330075499528435
npb_sp,0.22068452667636496,0.3143078033648788,0.27951032029391204,0.33564628491565157,0.039095030007288395,0.07222909029413604,0.10820471862318687,0.1470900971661141,3.4622207283382354,5.851031784546379,6.350411944138529,10.924711435743788
npb_sp-mz,0.08276329663220283,0.4115464115037684,0.19147920071306468,0.2769867749834179,0.028652418625473186,0.10126626730840421,0.03877694165368062,0.0956075659524246,2.9178212579406986,10.09060351899091,6.062139418825472,6.589263547203464
matmul,0.08230487028673804,0.20877053175551077,0.06596394021921172,0.2035182899595522,0.020521842132201235,0.05453863552354169,0.025435633348072417,0.06804640690479913,2.7419034511814404,6.902689849609345,3.503276755384877,9.793000044210421
montecarlo,0.10883753583028118,0.23472192291266047,0.113719193535335,0.22967739499295792,0.022649845213962128,0.054139845700040434,0.03340034012979477,0.14145555119073655,10.106642278809396,23.881398805767272,10.99989227433148,43.039205602855915
quicksort,0.036446242954477154,0.607130152620076,0.2704017349474456,0.9553972843923988,0.018823756006118186,0.31035948855281303,0.05871883351763177,0.30392648205092665,0.8854422178850014,14.363211801165779,3.0855697794407755,15.298696166188257
